district,monsoon,rain_24h_mm,rain_6h_mm,river_level_m,river_danger_m,soil_moisture_index,elevation_m,slope_deg,humidity_pct,wind_kmh,temp_c,coastal,rain24,rain6,river_ratio,soil,low_elev,flat,humidity,slope,wind,temp,label_flood,label_landslide,label_cyclone,label_rainfall
Bhavnagar,1,30.0,13.0,3.66,7.4,0.685,24,2,75.8,27.4,29.7,1.0,0.09985,0.09253,0.49526,0.68452,0.94,0.9,0.51669,0.05714,0.09258,0.48482,1,0,0,0
Navsari,1,57.7,27.8,4.28,7.3,0.79,11,1,85.3,2.7,26.3,1.0,0.19244,0.19826,0.58673,0.79038,0.9725,0.95,0.70676,0.02857,0,0.31326,1,0,0,0
Bhavnagar,1,21.9,6.9,4.3,7.4,0.805,24,2,77.6,15.5,25.8,1.0,0.07286,0.04941,0.58114,0.8049,0.94,0.9,0.5513,0.05714,0,0.28775,0,0,0,0
Jamnagar,0,7.4,4.0,1.92,6.5,0.28,20,2,50.4,25.8,31.9,1.0,0.02459,0.02863,0.29586,0.28007,0.95,0.9,0.00848,0.05714,0.07251,0.59482,0,0,0,0
Navsari,1,87.6,39.2,5.81,7.3,0.928,11,1,81.4,43.6,28.4,1.0,0.29208,0.27966,0.79559,0.92784,0.9725,0.95,0.62753,0.02857,0.29556,0.41954,1,0,0,0
Jamnagar,1,44.4,32.2,4.03,6.5,0.767,20,2,88.0,53.4,26.4,1.0,0.14787,0.22995,0.61934,0.76676,0.95,0.9,0.75917,0.05714,0.41749,0.31778,0,0,0,0
Porbandar,1,12.2,6.1,3.42,6.2,0.704,8,1,65.6,16.8,28.4,1.0,0.04051,0.04379,0.55154,0.70385,0.98,0.95,0.3129,0.02857,0,0.4185,0,0,0,0
Valsad,1,15.0,1.8,4.19,7.0,0.817,12,2,80.4,21.6,26.3,1.0,0.04987,0.01299,0.59922,0.81665,0.97,0.9,0.60735,0.05714,0.02014,0.31315,0,0,0,0
Porbandar,1,19.0,1.7,3.55,6.2,0.716,8,1,87.9,49.5,26.1,1.0,0.06331,0.01187,0.57329,0.71615,0.98,0.95,0.75722,0.02857,0.36908,0.30396,0,0,0,0
Surat,0,3.0,1.7,4.75,9.4,0.553,13,1,37.0,3.7,35.7,1.0,0.01004,0.01232,0.50563,0.55274,0.9675,0.95,0,0.02857,0,0.78423,0,0,0,0
Patan,1,2.7,0.9,2.19,6.0,0.444,70,1,87.1,2.9,26.3,0.0,0.00885,0.00664,0.36503,0.44383,0.825,0.95,0.74178,0.02857,0,0.31743,0,0,0,0
Jamnagar,1,86.6,53.5,4.26,6.5,0.767,20,2,84.8,28.5,27.0,1.0,0.28882,0.38227,0.65563,0.76735,0.95,0.9,0.69697,0.05714,0.10648,0.34884,0,0,0,1
Jamnagar,0,3.4,1.2,2.59,6.5,0.273,20,2,54.0,8.3,33.2,1.0,0.01129,0.00862,0.39876,0.27346,0.95,0.9,0.07995,0.05714,0,0.66171,0,0,0,0
Valsad,0,0.5,0.0,3.07,7.0,0.569,12,2,67.6,52.4,33.9,1.0,0.00177,0.00028,0.43847,0.56939,0.97,0.9,0.35174,0.05714,0.40469,0.69262,0,0,0,0
Navsari,1,78.9,21.8,5.1,7.3,0.894,11,1,77.9,5.2,26.3,1.0,0.263,0.1558,0.69843,0.89386,0.9725,0.95,0.55796,0.02857,0,0.31312,1,0,0,1
Vadodara,1,1.6,0.6,4.89,8.0,0.844,39,2,74.2,8.5,25.2,0.0,0.00531,0.00438,0.61182,0.84445,0.9025,0.9,0.48497,0.05714,0,0.25946,0,0,0,0
Jamnagar,1,10.2,5.2,4.08,6.5,0.638,20,2,80.9,4.2,26.0,1.0,0.03408,0.03707,0.62755,0.63803,0.95,0.9,0.61836,0.05714,0,0.29956,0,0,1,0
Navsari,0,3.2,0.9,2.8,7.3,0.511,11,1,51.8,36.0,32.8,1.0,0.0105,0.00675,0.38403,0.51126,0.9725,0.95,0.03673,0.02857,0.19986,0.64042,0,0,0,0
Porbandar,1,18.3,9.1,3.06,6.2,0.559,8,1,80.1,13.4,28.7,1.0,0.06089,0.06509,0.49342,0.55873,0.98,0.95,0.60207,0.02857,0,0.43589,0,0,0,0
Bhavnagar,0,11.9,6.6,3.42,7.4,0.431,24,2,52.3,2.5,34.5,1.0,0.0397,0.04696,0.46246,0.43149,0.94,0.9,0.04601,0.05714,0,0.72344,1,0,0,0
Valsad,0,0.9,0.3,3.32,7.0,0.574,12,2,46.1,9.4,32.9,1.0,0.00284,0.00187,0.4744,0.57355,0.97,0.9,0,0.05714,0,0.64503,0,0,0,0
Patan,0,0.6,0.2,3.37,6.0,0.169,70,1,53.4,27.4,33.9,0.0,0.002,0.00131,0.56228,0.16879,0.825,0.95,0.06853,0.02857,0.09221,0.69514,0,0,0,0
Porbandar,0,1.8,0.4,2.65,6.2,0.355,8,1,43.6,17.9,29.9,1.0,0.00602,0.0031,0.42793,0.35485,0.98,0.95,0,0.02857,0,0.4941,0,0,0,0
Ahmedabad,1,39.5,25.3,5.01,8.5,0.775,53,2,83.0,3.8,22.1,0.0,0.1318,0.18085,0.58963,0.77515,0.8675,0.9,0.66055,0.05714,0,0.10574,1,0,0,0
Jamnagar,1,49.7,18.6,3.93,6.5,0.686,20,2,86.6,16.8,26.5,1.0,0.16567,0.13308,0.60385,0.68647,0.95,0.9,0.73154,0.05714,0,0.32446,0,0,0,0
Patan,1,21.1,12.4,3.85,6.0,0.389,70,1,78.3,13.5,25.4,0.0,0.07023,0.08829,0.64121,0.3886,0.825,0.95,0.56513,0.02857,0,0.26788,0,0,0,0
Bhavnagar,1,17.8,8.9,3.38,7.4,0.717,24,2,81.7,4.0,26.6,1.0,0.05923,0.06352,0.45726,0.71652,0.94,0.9,0.63472,0.05714,0,0.33186,0,0,0,0
Valsad,0,3.1,1.7,2.45,7.0,0.494,12,2,64.0,4.9,32.2,1.0,0.01034,0.01231,0.35047,0.49429,0.97,0.9,0.27932,0.05714,0,0.61186,0,0,0,0
Bhuj,0,0.6,0.1,1.5,5.8,0.059,110,4,49.8,13.1,28.9,1.0,0.00187,0.00107,0.25802,0.05931,0.725,0.8,0,0.11429,0,0.44635,0,0,0,0
Jamnagar,0,6.3,4.5,2.45,6.5,0.313,20,2,64.8,5.0,35.5,1.0,0.02089,0.03198,0.37672,0.31259,0.95,0.9,0.29655,0.05714,0,0.77738,0,0,0,0
Vadodara,1,46.1,13.9,5.58,8.0,0.803,39,2,80.3,12.6,27.4,0.0,0.15371,0.09908,0.6974,0.80335,0.9025,0.9,0.60692,0.05714,0,0.3724,0,0,0,0
Vadodara,1,34.9,17.5,5.1,8.0,0.694,39,2,79.7,4.6,24.5,0.0,0.1163,0.12489,0.63797,0.6939,0.9025,0.9,0.59342,0.05714,0,0.2244,0,0,0,0
Patan,1,5.7,1.3,2.58,6.0,0.501,70,1,94.1,22.6,21.5,0.0,0.01914,0.00957,0.43047,0.50052,0.825,0.95,0.88283,0.02857,0.0322,0.07683,0,0,0,0
Porbandar,1,34.2,3.4,3.92,6.2,0.742,8,1,70.7,45.8,27.0,1.0,0.11403,0.02423,0.63156,0.74194,0.98,0.95,0.41346,0.02857,0.32235,0.35197,0,0,0,0
Jamnagar,1,25.1,12.9,2.7,6.5,0.623,20,2,85.4,9.0,27.7,1.0,0.08367,0.09195,0.41582,0.62333,0.95,0.9,0.70844,0.05714,0,0.38315,0,0,0,0
Porbandar,0,15.1,4.5,3.13,6.2,0.31,8,1,60.1,23.7,30.4,1.0,0.0504,0.03184,0.50414,0.31019,0.98,0.95,0.20171,0.02857,0.04622,0.51903,0,0,0,0
Navsari,1,24.1,2.5,4.16,7.3,0.904,11,1,70.3,9.3,32.5,1.0,0.08046,0.01802,0.56966,0.90402,0.9725,0.95,0.40532,0.02857,0,0.62612,0,0,0,0
Vadodara,0,6.2,1.2,3.91,8.0,0.417,39,2,63.9,20.2,31.0,0.0,0.0208,0.00834,0.48853,0.41665,0.9025,0.9,0.27714,0.05714,0.00224,0.54777,0,0,0,0
Surat,1,13.0,4.7,5.0,9.4,0.934,13,1,70.9,7.0,27.4,1.0,0.04335,0.03349,0.53142,0.93386,0.9675,0.95,0.41701,0.02857,0,0.36951,0,0,0,0
Patan,1,36.3,13.3,4.51,6.0,0.612,70,1,84.6,5.8,31.2,0.0,0.12108,0.09522,0.75108,0.61236,0.825,0.95,0.69142,0.02857,0,0.56177,1,0,0,0
Valsad,0,6.4,2.7,3.5,7.0,0.468,12,2,45.5,28.4,36.0,1.0,0.02137,0.01939,0.49964,0.46825,0.97,0.9,0,0.05714,0.10487,0.79921,0,0,0,0
Navsari,0,5.9,2.1,2.98,7.3,0.55,11,1,58.6,12.6,33.3,1.0,0.01971,0.01473,0.40847,0.54997,0.9725,0.95,0.17173,0.02857,0,0.66504,0,0,0,0
Bhavnagar,0,3.5,2.5,1.12,7.4,0.277,24,2,52.1,9.5,30.6,1.0,0.01182,0.01771,0.151,0.27734,0.94,0.9,0.04173,0.05714,0,0.52758,0,0,0,0
Ahmedabad,0,7.6,3.9,4.45,8.5,0.329,53,2,52.4,16.6,31.4,0.0,0.02547,0.02821,0.52321,0.32896,0.8675,0.9,0.04872,0.05714,0,0.57171,0,0,0,0
Ahmedabad,1,28.2,14.1,5.1,8.5,0.814,53,2,90.7,11.8,24.5,0.0,0.09401,0.10045,0.60028,0.81368,0.8675,0.9,0.81335,0.05714,0,0.22393,0,0,0,0
Rajkot,0,4.6,3.4,3.28,7.2,0.283,134,3,54.3,18.1,31.6,0.0,0.01534,0.02395,0.45524,0.28326,0.665,0.85,0.08527,0.08571,0,0.58176,0,0,0,0
Rajkot,1,23.7,5.4,3.35,7.2,0.575,134,3,93.0,11.7,26.3,0.0,0.07884,0.03854,0.46466,0.57521,0.665,0.85,0.85915,0.08571,0,0.31726,0,0,0,0
Valsad,0,6.9,0.7,3.88,7.0,0.568,12,2,59.8,16.8,32.8,1.0,0.02309,0.00504,0.55414,0.56777,0.97,0.9,0.196,0.05714,0,0.64213,0,0,0,0
Jamnagar,0,0.9,0.7,2.34,6.5,0.265,20,2,39.0,12.9,28.5,1.0,0.00302,0.00467,0.36008,0.26503,0.95,0.9,0,0.05714,0,0.42405,0,0,0,0
Patan,1,37.0,21.1,3.71,6.0,0.66,70,1,78.1,18.6,26.4,0.0,0.12326,0.15041,0.61806,0.65983,0.825,0.95,0.56174,0.02857,0,0.32243,0,0,0,1
Bhavnagar,0,9.8,2.2,2.69,7.4,0.338,24,2,58.5,25.0,33.7,1.0,0.03277,0.01582,0.363,0.33804,0.94,0.9,0.17052,0.05714,0.06219,0.68383,1,0,0,0
Valsad,1,87.5,11.4,5.55,7.0,0.947,12,2,82.1,16.4,25.0,1.0,0.29165,0.0813,0.79229,0.94734,0.97,0.9,0.64251,0.05714,0,0.25057,1,0,0,1
Rajkot,1,26.8,14.9,3.46,7.2,0.725,134,3,78.4,6.3,26.2,0.0,0.08949,0.10619,0.48054,0.72462,0.665,0.85,0.56783,0.08571,0,0.30935,0,0,0,0
Porbandar,0,6.3,2.3,2.75,6.2,0.468,8,1,58.5,18.2,32.2,1.0,0.02095,0.01608,0.44319,0.46822,0.98,0.95,0.1695,0.02857,0,0.60978,0,0,0,0
Bhavnagar,1,59.9,29.3,4.4,7.4,0.651,24,2,92.5,24.2,25.6,1.0,0.19953,0.20907,0.59456,0.6508,0.94,0.9,0.8507,0.05714,0.0526,0.28223,0,0,1,1
Vadodara,0,15.7,6.8,3.21,8.0,0.425,39,2,55.3,15.9,30.5,0.0,0.0524,0.04834,0.40081,0.42541,0.9025,0.9,0.10641,0.05714,0,0.5274,1,0,0,0
Valsad,0,11.9,8.5,3.59,7.0,0.594,12,2,47.7,12.6,33.3,1.0,0.03953,0.06107,0.51237,0.59376,0.97,0.9,0,0.05714,0,0.66556,0,0,1,0
Porbandar,1,15.4,5.1,3.72,6.2,0.678,8,1,67.9,2,27.9,1.0,0.0512,0.03655,0.59997,0.67792,0.98,0.95,0.35778,0.02857,0,0.3945,0,0,0,0
Valsad,0,2.7,0.7,3.92,7.0,0.509,12,2,43.8,25.7,30.9,1.0,0.00907,0.00479,0.55999,0.50878,0.97,0.9,0,0.05714,0.07153,0.54712,0,0,0,0
Rajkot,0,4.8,1.4,1.74,7.2,0.207,134,3,43.8,6.3,33.4,0.0,0.01592,0.00985,0.24152,0.20672,0.665,0.85,0,0.08571,0,0.67146,0,0,0,0
Navsari,0,3.6,2.5,3.77,7.3,0.575,11,1,45.8,55.3,27.4,1.0,0.01206,0.01766,0.51657,0.57528,0.9725,0.95,0,0.02857,0.44167,0.37211,0,0,0,0
Rajkot,1,50.7,32.4,4.15,7.2,0.631,134,3,82.7,33.9,31.2,0.0,0.16909,0.23141,0.57635,0.63148,0.665,0.85,0.65357,0.08571,0.17424,0.55768,0,0,0,0
Rajkot,1,11.4,5.4,3.0,7.2,0.639,134,3,91.3,19.0,26.2,0.0,0.03799,0.03859,0.41621,0.63912,0.665,0.85,0.82598,0.08571,0,0.3092,1,0,0,0
Dang,1,70.1,12.0,4.62,6.4,0.9,975,27,76.5,39.2,26.5,0.0,0.23377,0.08595,0.72176,0.90004,0,0,0.52938,0.77143,0.23945,0.32706,0,0,0,0
Surat,0,6.7,3.7,4.42,9.4,0.423,13,1,64.3,2,31.8,1.0,0.02246,0.02666,0.47035,0.42294,0.9675,0.95,0.28535,0.02857,0,0.59088,0,0,1,0
Porbandar,1,1.9,1.3,2.55,6.2,0.657,8,1,86.0,8.3,22.3,1.0,0.00623,0.00909,0.41065,0.6567,0.98,0.95,0.71966,0.02857,0,0.11615,0,0,0,0
Navsari,1,2.2,0.7,3.93,7.3,0.781,11,1,97.7,9.5,24.2,1.0,0.00738,0.00528,0.53862,0.78147,0.9725,0.95,0.95345,0.02857,0,0.21085,0,0,0,1
Patan,0,0.2,0.0,2.29,6.0,0.116,70,1,57.3,50.7,33.9,0.0,0.00061,0.00025,0.38216,0.11634,0.825,0.95,0.14641,0.02857,0.38382,0.69458,0,0,0,0
Vadodara,1,64.8,31.2,6.01,8.0,0.901,39,2,77.6,19.2,24.8,0.0,0.21611,0.22266,0.7517,0.90136,0.9025,0.9,0.55248,0.05714,0,0.238,1,0,0,1
Porbandar,1,17.0,3.3,2.64,6.2,0.605,8,1,81.1,22.6,28.4,1.0,0.05661,0.02351,0.42614,0.60537,0.98,0.95,0.62155,0.02857,0.03269,0.42165,0,0,0,0
Jamnagar,1,53.7,30.6,3.92,6.5,0.668,20,2,83.4,2,29.6,1.0,0.17908,0.21883,0.60254,0.6676,0.95,0.9,0.66777,0.05714,0,0.47909,0,0,0,0
Jamnagar,1,45.9,31.2,3.96,6.5,0.752,20,2,64.2,26.0,28.9,1.0,0.15295,0.22251,0.6094,0.75215,0.95,0.9,0.2846,0.05714,0.07463,0.44305,0,0,0,0
Ahmedabad,1,38.8,26.4,5.17,8.5,0.912,53,2,78.7,5.0,26.5,0.0,0.12947,0.18865,0.60827,0.91185,0.8675,0.9,0.57421,0.05714,0,0.32679,0,0,0,0
Valsad,1,7.8,4.4,4.79,7.0,0.959,12,2,71.9,51.1,30.5,1.0,0.02601,0.03125,0.68459,0.95888,0.97,0.9,0.43777,0.05714,0.38903,0.52685,0,0,0,0
Bhavnagar,0,2.8,1.1,3.62,7.4,0.305,24,2,51.5,21.3,30.3,1.0,0.00921,0.00805,0.48929,0.30451,0.94,0.9,0.03012,0.05714,0.01616,0.51315,0,0,0,0
Ahmedabad,0,9.0,5.0,4.69,8.5,0.538,53,2,59.1,7.1,33.3,0.0,0.03006,0.03581,0.55148,0.5377,0.8675,0.9,0.18256,0.05714,0,0.6641,0,0,0,0
Jamnagar,1,5.6,4.0,3.88,6.5,0.78,20,2,91.5,10.9,26.9,1.0,0.01873,0.02834,0.59671,0.77983,0.95,0.9,0.83029,0.05714,0,0.3428,0,0,0,0
Patan,0,8.9,5.4,2.47,6.0,0.138,70,1,56.1,27.0,33.0,0.0,0.02977,0.03885,0.41167,0.13796,0.825,0.95,0.12129,0.02857,0.08693,0.64883,0,0,0,0
Porbandar,1,56.8,35.0,3.31,6.2,0.691,8,1,78.6,23.7,28.3,1.0,0.1894,0.25023,0.53413,0.69132,0.98,0.95,0.57119,0.02857,0.04667,0.41393,0,0,0,0
Bhavnagar,1,47.5,15.2,4.76,7.4,0.826,24,2,78.0,9.1,32.8,1.0,0.15846,0.10874,0.64389,0.82621,0.94,0.9,0.56002,0.05714,0,0.63967,0,0,0,0
Dang,0,31.4,3.4,3.22,6.4,0.629,975,27,62.2,8.8,28.7,0.0,0.10482,0.02412,0.50366,0.62858,0,0,0.24425,0.77143,0,0.43266,0,0,0,0
Surat,1,20.3,1.8,6.3,9.4,0.84,13,1,85.5,32.1,26.0,1.0,0.06781,0.0128,0.67066,0.83951,0.9675,0.95,0.70971,0.02857,0.15085,0.30164,1,0,1,0
Porbandar,1,37.2,18.9,3.59,6.2,0.668,8,1,72.1,14.5,28.4,1.0,0.12401,0.13527,0.57951,0.66784,0.98,0.95,0.44195,0.02857,0,0.42052,1,0,0,1
Bhavnagar,1,31.9,9.5,5.3,7.4,0.778,24,2,88.0,28.4,24.3,1.0,0.10642,0.06802,0.71632,0.77763,0.94,0.9,0.76007,0.05714,0.10542,0.21427,1,0,0,0
Bhuj,0,0.7,0.1,1.89,5.8,0.035,110,4,61.0,20.3,33.3,1.0,0.00225,0.00043,0.32637,0.03526,0.725,0.8,0.22088,0.11429,0.00437,0.6669,0,0,0,0
Dang,1,16.8,10.7,4.02,6.4,1.0,975,27,85.0,12.1,28.5,0.0,0.05601,0.07651,0.62829,1.0,0,0,0.69982,0.77143,0,0.42558,0,1,0,0
Bhuj,0,1.0,0.8,2.1,5.8,0.095,110,4,44.9,4.9,35.7,1.0,0.0035,0.00554,0.36251,0.09485,0.725,0.8,0,0.11429,0,0.78515,0,0,0,0
Patan,1,14.2,4.1,3.19,6.0,0.538,70,1,85.6,31.7,25.4,0.0,0.04749,0.02953,0.53228,0.53845,0.825,0.95,0.71214,0.02857,0.14583,0.27021,0,0,0,0
Ahmedabad,1,38.9,22.2,5.07,8.5,0.805,53,2,82.9,14.0,24.2,0.0,0.12955,0.15866,0.59698,0.80466,0.8675,0.9,0.65864,0.05714,0,0.21089,0,0,0,0
Bhavnagar,0,6.2,1.1,3.64,7.4,0.365,24,2,56.8,4.2,34.4,1.0,0.0208,0.00787,0.49225,0.36523,0.94,0.9,0.13558,0.05714,0,0.72154,0,0,0,0
Rajkot,1,18.6,3.0,4.74,7.2,0.482,134,3,81.0,17.0,26.4,0.0,0.06191,0.02107,0.65801,0.48247,0.665,0.85,0.62042,0.08571,0,0.31794,0,0,0,1
Porbandar,1,7.0,4.0,2.83,6.2,0.742,8,1,92.9,24.4,25.1,1.0,0.02347,0.02831,0.45585,0.74248,0.98,0.95,0.85706,0.02857,0.05548,0.25262,0,0,0,0
